dataset,strategy,fit_method,accuracy,brier_score,time,num_rules,num_preds,trial_count
Page Blocks,info_gain,FOLD-RM (fit),0.965296803652968,0.9711046184389038,11.024495840072632,74,138,30
Page Blocks,info_gain,FOLD-RM (fit),0.9680365296803652,0.9723975799852971,11.456026315689087,70,120,30
Page Blocks,info_gain,FOLD-RM (fit),0.954337899543379,0.9617282043739719,11.864956140518188,73,141,30
Page Blocks,info_gain,FOLD-RM (fit),0.9671232876712329,0.9714632078904109,11.980620861053467,71,129,30
Page Blocks,info_gain,FOLD-RM (fit),0.9662100456621004,0.9698043912386305,12.36103868484497,65,116,30
Page Blocks,info_gain,FOLD-RM (fit),0.9634703196347032,0.9663224577326031,12.415297985076904,71,126,30
Page Blocks,info_gain,FOLD-RM (fit),0.958904109589041,0.963566386442831,12.546639680862427,71,122,30
Page Blocks,info_gain,FOLD-RM (fit),0.9662100456621004,0.9697614212320553,12.581093072891235,63,121,30
Page Blocks,info_gain,FOLD-RM (fit),0.9662100456621004,0.9698682528978999,12.745083570480347,70,128,30
Page Blocks,info_gain,FOLD-RM (fit),0.9643835616438357,0.9681617922484937,12.792436122894287,81,145,30
Page Blocks,info_gain,FOLD-RM (fit),0.9680365296803652,0.9710872146503199,12.85469937324524,68,123,30
Page Blocks,info_gain,FOLD-RM (fit),0.9561643835616438,0.9620623514053879,12.928122520446777,75,150,30
Page Blocks,info_gain,FOLD-RM (fit),0.9643835616438357,0.9678454146633794,12.997918605804443,62,116,30
Page Blocks,info_gain,FOLD-RM (fit),0.9643835616438357,0.9685546724496809,13.069658041000366,86,160,30
Page Blocks,info_gain,FOLD-RM (fit),0.9671232876712329,0.9708960825788129,13.150861740112305,72,141,30
Page Blocks,info_gain,FOLD-RM (fit),0.9634703196347032,0.9690942215774436,13.163818597793579,80,143,30
Page Blocks,info_gain,FOLD-RM (fit),0.9643835616438357,0.9686890842539726,13.236578702926636,82,160,30
Page Blocks,info_gain,FOLD-RM (fit),0.9643835616438357,0.9671735054550689,13.308090448379517,80,137,30
Page Blocks,info_gain,FOLD-RM (fit),0.9643835616438357,0.9695833278775345,13.249388456344604,78,143,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9287671232876712,0.9336248347601833,6.260959625244141,7,10,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9278538812785389,0.9335348141417344,9.604032754898071,11,14,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9470319634703196,0.9521472259578089,9.788338422775269,22,28,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9269406392694064,0.9325567710250228,9.96751356124878,10,13,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9506849315068493,0.9567823077884021,10.709047317504883,17,22,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.954337899543379,0.9583360599700451,10.891297101974487,24,43,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9406392694063926,0.9445941040041999,10.920769929885864,11,14,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9452054794520548,0.9503236535629218,11.129737615585327,21,26,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9342465753424658,0.938200757584383,11.372517585754395,9,11,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9570776255707762,0.9608134070151602,12.394347429275513,20,27,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9561643835616438,0.9600131801989964,12.600833415985107,18,22,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9570776255707762,0.961688545708858,12.623854875564575,29,50,30
Page Blocks,info_gain,CON-FOLD (confidence_fit),0.9570776255707762,0.9611281014958903,12.959787845611572,19,25,30
