Dataset,Metric,Fit Method,Avg Accuracy,Std Accuracy,Avg Brier Score,Std Brier Score,Avg Time,Num Rules Avg,Num Rules Std,Num Preds Avg,Num Preds Std
Ecoli,information_gain,CON-FOLD (confidence_fit),0.7955882352941176,0.04548984133360541,0.8617539913336618,0.02865352205922308,0.08070931990941366,34.126666666666665,4.493468566123281,42.83,7.031303632274087
Ecoli,precision,FOLD-RM (fit),0.7911274509803922,0.0470498825446177,0.8553624954731618,0.031155509983153036,0.040002593199412025,38.64333333333333,5.027960838105307,46.843333333333334,7.262317794942467
Ecoli,precision,CON-FOLD (confidence_fit),0.7957843137254902,0.04767258695213576,0.8605321003827304,0.0330417737583798,0.08239062945048015,34.28,4.598414733383742,43.11333333333334,6.7799001252168365
Ecoli,F1,FOLD-RM (fit),0.7922549019607843,0.04618560362428555,0.8558997425204216,0.03251387916957032,0.05015168825785319,38.85666666666667,4.829825352121497,47.056666666666665,7.033136254483913
Ecoli,F1,CON-FOLD (confidence_fit),0.7980392156862745,0.04660248276663657,0.8611688231580049,0.02985626844848659,0.08602923393249512,33.483333333333334,4.6757456675251445,41.586666666666666,7.515590633084173
Ecoli,Jaccard,FOLD-RM (fit),0.7879411764705883,0.047664494542530376,0.8537406134492941,0.033845639314608045,0.04785442590713501,38.163333333333334,5.399429137008294,46.21333333333333,7.916442113813509
Ecoli,Jaccard,CON-FOLD (confidence_fit),0.7996078431372549,0.045657964438465266,0.8622131610616667,0.030449804102400817,0.08559917449951172,33.75,4.680511792042779,41.78666666666667,7.319362388542113
Ecoli,Laplace,FOLD-RM (fit),0.7960294117647059,0.04513011295055712,0.8576432174001078,0.03131895915740983,0.03897774855295817,38.57,5.255202868646981,46.4,7.80189497605494
Ecoli,Laplace,CON-FOLD (confidence_fit),0.798235294117647,0.04386675331217859,0.8617699756194068,0.03033305125211988,0.08074521700541179,33.526666666666664,5.398125113223628,41.70666666666666,8.081563035238336
Ecoli,Gini_Impurity_Covered,FOLD-RM (fit),0.7923039215686274,0.046304860621665514,0.8551194971461323,0.03222375893764915,0.046532273292541504,38.656666666666666,5.032216167263596,46.81,7.520355876443694
Ecoli,Gini_Impurity_Covered,CON-FOLD (confidence_fit),0.7949509803921568,0.05042921302864388,0.8607395668263039,0.03412350770507857,0.08267119646072388,33.81333333333333,4.7144361894259905,42.016666666666666,7.249245530266063
Ecoli,Positive_Coverage_Gain,FOLD-RM (fit),0.795,0.043306197473932086,0.8594689049349216,0.029544569698297718,0.048832977612813314,38.81,5.135023031930971,46.97666666666667,7.805074386329877
Ecoli,Positive_Coverage_Gain,CON-FOLD (confidence_fit),0.794264705882353,0.04550550011832727,0.8597619474242892,0.029528877375469446,0.0825797963142395,33.61333333333334,4.843071341854933,41.93,7.512649310699378
Ecoli,YoudensJ,FOLD-RM (fit),0.7887254901960784,0.04742555394791412,0.8527321334211716,0.032415504294208544,0.04464610815048218,38.91,4.7627912616454955,47.2,6.936887006272529
Ecoli,YoudensJ,CON-FOLD (confidence_fit),0.7957843137254902,0.046224425235581804,0.8605139904550392,0.029605234362730968,0.08037058591842651,34.016666666666666,4.635516757340095,42.126666666666665,6.916894799531181
Ecoli,Weighted_Harmonic_Mean,FOLD-RM (fit),0.7919117647058823,0.04554744229101747,0.8558015810795491,0.03247659693469268,0.042599591414133706,38.86,4.857198223455555,47.10333333333333,7.185501164067701
Ecoli,Weighted_Harmonic_Mean,CON-FOLD (confidence_fit),0.793186274509804,0.04415694907103078,0.8584866999421275,0.029965509354532724,0.08682191848754883,33.61666666666667,4.6800353980118965,41.50333333333333,7.647981933014395
Ecoli,Binomial_Parameter,FOLD-RM (fit),0.7901960784313725,0.04347078625576969,0.8554934589271863,0.031546242156857154,0.04008980353673299,39.556666666666665,4.74007911914362,47.72666666666667,7.033029258961859
Ecoli,Binomial_Parameter,CON-FOLD (confidence_fit),0.798921568627451,0.045861863626655355,0.8624797755502304,0.030467105876681996,0.0771946930885315,33.85,4.941209552272084,42.29333333333334,7.527916087756507
Ecoli,RPG,FOLD-RM (fit),0.793578431372549,0.048383778844551355,0.8560636406654559,0.03300582527109425,0.04706331968307495,39.086666666666666,5.048840612191404,47.25,7.154354101433312
Ecoli,RPG,CON-FOLD (confidence_fit),0.7974019607843137,0.0455933649029902,0.8607891387102843,0.031143578043849318,0.07942886193593343,34.0,4.528615815457674,42.31,6.8412896552592475
Weight Lifting,information_gain,FOLD-RM (fit),0.9987660455486542,0.0015967103444778292,0.9985924507975784,0.0014971521600221714,2.348595745563507,14.39,1.3000771780537959,16.36,1.5137275968476607
Weight Lifting,information_gain,CON-FOLD (confidence_fit),0.992592132505176,0.004770003628921937,0.9924874196897292,0.0046101703261758305,2.485164737701416,12.5,0.8713193010686242,13.463333333333333,1.0093155843035164
Weight Lifting,precision,FOLD-RM (fit),0.9987660455486542,0.001560750168885659,0.9985554952559147,0.0015135464076028026,2.380868004957835,14.363333333333333,1.2094896055397022,16.286666666666665,1.5271748751271483
Weight Lifting,precision,CON-FOLD (confidence_fit),0.9920248447204969,0.005031431599004315,0.9919430422896236,0.004878523286413841,2.5210309346516926,12.37,0.9641222809245987,13.4,1.053739955101157
Weight Lifting,F1,FOLD-RM (fit),0.9988654244306419,0.0014683345641540793,0.9986641239255052,0.0013953101069331644,2.395739493370056,14.463333333333333,1.2330410331860917,16.44,1.6498910473808337
Weight Lifting,F1,CON-FOLD (confidence_fit),0.9922691511387164,0.004860804551407834,0.9921760532378178,0.004681337439847671,2.5273158621788023,12.506666666666666,0.8400244196694675,13.453333333333333,1.0089012976087457
Weight Lifting,Jaccard,FOLD-RM (fit),0.9988447204968944,0.0014395525556594403,0.9986629728895855,0.0013484584890901229,2.3698464186986286,14.496666666666666,1.2226905288420105,16.48,1.3817733746395884
Weight Lifting,Jaccard,CON-FOLD (confidence_fit),0.9919254658385093,0.005522370246128616,0.9918574742696613,0.00530366772964127,2.4880902592341103,12.493333333333334,0.8597010187818421,13.416666666666666,1.0032000081789556
Weight Lifting,Laplace,FOLD-RM (fit),0.9987453416149068,0.0014844555788149376,0.9985557121923582,0.0013974515288655356,2.3824771388371784,14.306666666666667,1.3780246958709859,16.333333333333332,1.443086003304029
Weight Lifting,Laplace,CON-FOLD (confidence_fit),0.9917888198757764,0.005485034155305418,0.9917159440756692,0.00526725631583347,2.4943443020184835,12.426666666666666,0.927806538093648,13.3,1.0679270702743466
Weight Lifting,Gini_Impurity_Covered,FOLD-RM (fit),0.9988447204968944,0.0014032429589640166,0.9986395820875656,0.0013236559209667128,2.372447879314423,14.44,1.1536187066796975,16.326666666666668,1.4857029536363253
Weight Lifting,Gini_Impurity_Covered,CON-FOLD (confidence_fit),0.9926004140786749,0.004986796006018508,0.992521837927359,0.004816682498907857,2.5053592840830485,12.5,0.9449743851707106,13.446666666666667,1.0217479066963386
Weight Lifting,Positive_Coverage_Gain,FOLD-RM (fit),0.9988364389233955,0.001421997699708232,0.9986544326507225,0.0013634704053441407,2.353934568564097,14.4,1.1766968108291043,16.34,1.4322141802796047
Weight Lifting,Positive_Coverage_Gain,CON-FOLD (confidence_fit),0.9923478260869565,0.004728558749766995,0.9922384457115929,0.004560835026762532,2.525855214595795,12.466666666666667,0.9265079305507682,13.506666666666666,1.0772606573939218
Weight Lifting,YoudensJ,FOLD-RM (fit),0.998935817805383,0.0014166159626727423,0.9987584947652617,0.0013328215757495419,2.4174903798103333,14.61,1.0270098168370148,16.596666666666668,1.4791716323499169
Weight Lifting,YoudensJ,CON-FOLD (confidence_fit),0.9921200828157349,0.005363371164786866,0.9920280895080178,0.005155708367264524,2.523990731239319,12.386666666666667,0.9799779307232234,13.42,1.0928163119384684
Weight Lifting,Weighted_Harmonic_Mean,FOLD-RM (fit),0.9987329192546583,0.001506730687669923,0.9985292848130758,0.0014757901009186086,2.3913101681073505,14.39,1.3179618398767232,16.376666666666665,1.465816364443305
Weight Lifting,Weighted_Harmonic_Mean,CON-FOLD (confidence_fit),0.9921283643892339,0.005878191196768971,0.9920920321276129,0.005655107585982044,2.500895380179087,12.363333333333333,0.980404439558445,13.34,1.058995548577214
Weight Lifting,Binomial_Parameter,FOLD-RM (fit),0.9988902691511387,0.0015517962124094288,0.9987063504902592,0.001464666494977849,2.370329869588216,14.386666666666667,1.222895662581546,16.30666666666667,1.4210395491410384
Weight Lifting,Binomial_Parameter,CON-FOLD (confidence_fit),0.9922691511387164,0.004869291272237263,0.9921993616780982,0.004711356365099799,2.5025238076845806,12.456666666666667,0.9296970892795883,13.37,1.0536288622015886
Weight Lifting,RPG,FOLD-RM (fit),0.9989896480331263,0.0012922215828458563,0.9987530237229267,0.0012718124611396993,2.3715759412447612,14.396666666666667,1.1678477856254168,16.24,1.5568598874112276
Weight Lifting,RPG,CON-FOLD (confidence_fit),0.9927163561076604,0.004491830861094921,0.9926104957729279,0.004317783293197811,2.5345671955744424,12.463333333333333,0.9371497859431007,13.52,1.0229474105164322
Wall Robot,information_gain,FOLD-RM (fit),0.9923229548229549,0.003163806916716556,0.9926231787178782,0.002979741821901282,3.215695605278015,29.94,2.1937277569406617,40.41,3.5388763025782395
Wall Robot,information_gain,CON-FOLD (confidence_fit),0.9753571428571428,0.008051646082195227,0.9764999431601765,0.00737502752593268,3.961968380610148,18.97,1.7869182754331332,23.013333333333332,2.4847001169408705
Wall Robot,precision,FOLD-RM (fit),0.992518315018315,0.0029095453289392915,0.992733046180029,0.002682725472650041,3.2050531045595805,29.89666666666667,2.129421755374707,40.5,3.7429979220961442
Wall Robot,precision,CON-FOLD (confidence_fit),0.9746123321123321,0.00948252016291654,0.9759225032314506,0.008622724001426687,3.9234238759676616,18.98,2.0396406005137804,22.966666666666665,2.7086302469954595
Wall Robot,F1,FOLD-RM (fit),0.9921001221001221,0.0030506485274315424,0.9923744323387949,0.002832517102559945,3.1452009201049806,29.976666666666667,2.2700880794623983,40.52333333333333,3.7625316437370504
Wall Robot,F1,CON-FOLD (confidence_fit),0.9741514041514041,0.009056585912039021,0.9753692701079436,0.00825246792506997,3.9691150093078615,18.876666666666665,1.895635425861601,22.97,2.65819235987044
Wall Robot,Jaccard,FOLD-RM (fit),0.9921916971916972,0.0030055416265961734,0.9925898581379707,0.0027302955743588593,3.1896718565622963,29.94333333333333,2.1915287395506535,40.23,3.738585750169606
Wall Robot,Jaccard,CON-FOLD (confidence_fit),0.9749175824175824,0.008917834879235342,0.9760755426030647,0.008172748938276268,3.94750431617101,18.746666666666666,2.033783783283278,22.733333333333334,2.5594383441843562
Wall Robot,Laplace,FOLD-RM (fit),0.9922313797313798,0.0032235246047088353,0.9924909209177427,0.0030241795052478875,3.177307678858439,29.94,2.2434743719340955,40.52,3.687128474566606
Wall Robot,Laplace,CON-FOLD (confidence_fit),0.9755433455433455,0.008622146416427978,0.9767242278655281,0.00790138994167346,4.005394857724507,19.073333333333334,1.8455285079893946,23.053333333333335,2.461167753579539
Wall Robot,Gini_Impurity_Covered,FOLD-RM (fit),0.9921428571428572,0.002975668591411394,0.9925111233226602,0.0028092821544527828,3.171463163693746,29.88,2.052553674969004,40.61333333333334,3.340812122976334
Wall Robot,Gini_Impurity_Covered,CON-FOLD (confidence_fit),0.9752869352869353,0.008662025590362155,0.9764884978644572,0.008037315521878287,3.985311703681946,18.903333333333332,2.039900209595045,22.993333333333332,2.6890006764002794
Wall Robot,Positive_Coverage_Gain,FOLD-RM (fit),0.9921886446886448,0.003186690147900469,0.992516723264135,0.002880882213759753,3.205687772432963,30.033333333333335,2.105627645499999,40.43666666666667,3.616108824735504
Wall Robot,Positive_Coverage_Gain,CON-FOLD (confidence_fit),0.9746520146520147,0.009578931956747598,0.9758678945288803,0.008691091203270539,3.9557133603096006,18.746666666666666,2.1254522766122217,22.643333333333334,2.7485701157437155
Wall Robot,YoudensJ,FOLD-RM (fit),0.9922741147741148,0.0029304204771384247,0.9926066600329768,0.002659934585186251,3.186804618040721,29.843333333333334,2.1496182025990973,40.35666666666667,3.6045477901479437
Wall Robot,YoudensJ,CON-FOLD (confidence_fit),0.9748840048840048,0.009147609204345939,0.9761132615188587,0.008397249633232101,3.959967112541199,18.813333333333333,2.009631213499081,22.936666666666667,2.7769937949780714
Wall Robot,Weighted_Harmonic_Mean,FOLD-RM (fit),0.9922649572649573,0.0031536980848999897,0.9926267877091527,0.0027994050485014616,3.2112107451756797,30.126666666666665,2.193931022920578,40.87,3.9680707257155756
Wall Robot,Weighted_Harmonic_Mean,CON-FOLD (confidence_fit),0.975030525030525,0.00868703790914172,0.9762053560792644,0.007912064708802869,3.928312507470449,18.816666666666666,1.8622429266743687,22.833333333333332,2.4845116655545163
Wall Robot,Binomial_Parameter,FOLD-RM (fit),0.9922344322344323,0.0030965899239961095,0.9925391336752647,0.0028155613098951146,3.1915866557757058,29.946666666666665,2.2346815345274775,40.593333333333334,3.795961005517168
Wall Robot,Binomial_Parameter,CON-FOLD (confidence_fit),0.9752228327228327,0.00866495378029688,0.9763820190297124,0.007900862649681378,3.9451290861765544,18.89666666666667,1.8701999130050873,22.936666666666667,2.544452071344001
Wall Robot,RPG,FOLD-RM (fit),0.9920634920634921,0.0032234158445370244,0.9924385772159927,0.002983009230162605,3.2029673409461976,30.066666666666666,2.141067363194038,40.61666666666667,3.648849484988736
Wall Robot,RPG,CON-FOLD (confidence_fit),0.9746764346764347,0.00906886585512981,0.9758432088009338,0.00830676449050509,3.94932582616806,18.926666666666666,1.9750844922163542,22.953333333333333,2.6243946055629506
Page Blocks,information_gain,FOLD-RM (fit),0.965248097412481,0.005747078997703432,0.9691622861201024,0.004957283013353716,1.5207926988601685,61.35333333333333,12.291137556399054,109.8,25.392174814419107
Page Blocks,information_gain,CON-FOLD (confidence_fit),0.9547640791476408,0.008635826679206073,0.9585081478867424,0.008046107438237592,2.976011720498403,19.406666666666666,4.903205785893377,26.793333333333333,7.661131247768876
Page Blocks,precision,FOLD-RM (fit),0.9656377473363774,0.005483570446885208,0.9694749636592841,0.004741200688892046,1.5582617378234864,61.35666666666667,11.39131228352077,109.90666666666667,24.087034680255858
Page Blocks,precision,CON-FOLD (confidence_fit),0.9550319634703196,0.009221888832351432,0.9587142505763224,0.008563480825991744,2.810391178925832,19.74,4.924758283119811,27.52,7.482170557677805
Page Blocks,F1,FOLD-RM (fit),0.965744292237443,0.005513192596653665,0.9696055889269468,0.004764267870989026,1.574607810974121,61.486666666666665,11.960210883179386,110.82333333333334,25.270154820215904
Page Blocks,F1,CON-FOLD (confidence_fit),0.9543135464231355,0.009332394137130546,0.958100577753757,0.008710308491192803,2.814076318740845,19.19,4.970202178885348,26.52,7.9481766277357995
Page Blocks,Jaccard,FOLD-RM (fit),0.9656742770167428,0.0051305205897736504,0.9695003482462877,0.004448225543551791,1.5251756930351257,61.17,12.209477375901155,110.02,25.601256762629582
